    0002   ADALBERTO ENRIQUE DUARTE MACDONALD
              ADALBERTO ENRIQUE DUARTE                  luisdmc@prodigy.net.mx
    0004   ADHESIVOS Y BOQUILLAS INTERCERAMIC S. DE R.L. DE C.V.
              INTERCERAMIC CXP                          sjurado@interceramic.com
              INTERCERAMIC CXP                          kviveros@interceramic.com
              INTERCERAMIC CXP                          omendoza@interceramic.com
    0009   AGRI-ESTRELLA S.DE R.L.. DE C.V.
              AGRI-ESTRELLA CXP                         jmarquez@agristar.com.mx
              ALFONSO GUTIERREZ                         agutierrez@agristar.com.mx
    0013   AGROPECUARIA DEL CONSUELO S.A. DE C.V.
              AGROPECUARIA DEL CONSUELO                 mgagropec@hotmail.com
    0018   ALTEC ELECTRONICA CHIHUAHUA, S.A. DE C.V.
              ALTEC CXP                                 iramirez@visteon.com
              DAVID SILVA CXC                           dsilva1@visteon.com
              G VIDAL                                   gvidal@visteon.com
              MARCELA MUÑOZ                             mmunoz3@visteon.com
    0020   AMERICAN BEEF S.A. DE C.V.
              AMERICAN BEEF                             oarellanes@amebeef.com
              AMERICAN BEEF                             jruiz@amebeef.com
    0030   ARROW INTERNACIONAL DE CHIHUAHUA, S.A. DE C.V.
              ARROW INTERNACIONAL                       cinthia.canales@teleflex.com
              CXC                                       Cinthia.canales@teleflex.com
    0039   BIMBO S.A.  DE C.V.
              BIMBO                                     francisco.porras@grupobimbo.com
    0042   ROBERT BOSCH SISTEMAS AUTOMOTRICES, S.A. DE C.V.
              CXC                                       cuentasporpagar@us.bosch.com
              ROBERT BOSCH SISTEMAS AUTOMOTRICES        iveth.holguin@us.bosch.com
              ROBERT BOSCH SISTEMAS AUTOMOTRICES CXP    cuentasporpagarjuarez@us.bosch.com
    0046   BYCOSIN LATINOAMÉRICA S.A. DE C.V.
              BYCOSIN                                   gruiz@bycosin.com.mx
    0054   CENTRO DE CALIDAD AMBIENTALS.C.
              CENTRO DE CALIDAD AMBIENTAL               lgarcia@ccambiental.com
    0055   CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO A.C.
              CENTRO DE INVESTIGACION EN ALIMENTOS      ecardona@ciad.mx
    0057   CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL
              CENTRO DE INGENIERIA                      facturacion.electronica@cidesi.mx
              CENTRO DE INGENIERIA                      thernandez@cidesi.mx
    0084   CREST, S.A. DE C.V.
              CIMAV (HONORIO)                           honorio.lara@cimav.edu.mx
              CREST                                     iamaya@crest.com.mx
    0085   CRONI, S.A. DE C.V.
              CRONI CXP                                 mlopez@ccroni.com
    0090   DANIEL MEASUREMENT AND CONTROL S DE RL DE C.V.
              CXP                                       fe@informap.mx
              CXP                                       nayeli.aguirre@emerson.com
              CXP                                       Sylvia.Almaraz@emerson.com
              DANIEL CXP                                daniel.accountspayable-chi@emersonprocess.com
              EDUARDO GONZALEZ                          eduardo.gonzalez@emerson.com
    0092   DELMEX DE JUAREZ, S. DE R.L. DE C.V.
              DELMEX                                    jorge.garciayala@valeo.com
    0093   DELPHI AUTOMOTIVE SYSTEMS, S.A. DE C.V.
              DELPHI AUTOMOTIVE SYSTEMS                 delphia.cuentasporpagar.facturacionelectronica
    0106   ELECTROLUX HOME PRODUCTS DE MEXICO, S.A. DE C.V.
              ELECTROLUX CXP                            erika.fernandez@electrolux.com
              ELECTROLUX CXP                            jose.hernandez-ortiz@electrolux.com
    0122   FORD MOTOR COMPANY., S.A. DE C.V.
              FORD MOTOR                                dgarci76@ford.com
              JUAN AGUIRRE                              jaguirre@ford.com
    0124   FOXCONN MEXICO PRECISION INDUSTRY CO. S.A. DE C.V.
              FOXCONN                                   ulises.lopez@foxconn.com
              FOXCONN                                   marco.mondragon@foxconn.com
              FOXCONN MEXICO PRECISION INDUSTRY         jessica.villalobos@foxconn.com
    0125   FR TECNOLOGIAS DE FLUJO, S.A. DE C.V.
              FR TECNOLOGIAS DE FLUJO                   miguel.ortega@emerson.com
              FR TECNOLOGIAS DE FLUJO CXP               Facturacion.tf@emerson.com
    0130   FWF DE MEXICO, S. DE .R.L. DE C.V.
              FWF                                       f.mora@fwf-de-mexico.com
              FWF                                       r.perez@fwf-de-mexico.com
              FWF                                       fwm_facturas@fwf-de-mexico.com
    0132   GAMMON LAKE DE MEXICO, S.A. DE C.V
              GAMMON LAKE CXP                           gparedes@gammonlake.com
              GAMMON LAKE CXP                           kperez@gammonlake.com
